"id","title_zh","border_color","status","visibility","confidence","border_colors","source_images","visible_text","notes"
"SMC-001","感恩之情就是財富","green","collected","clear","0.99","green","source_images/01_green_gratitude.jpg; source_images/08_table_green.webp","「每日的感恩練習，是財富降臨你身上的管道之一。」
——華勒思·華特斯（Wallace D. Wattles），《失落的致富經典》作者",""
"SMC-002","這個世界需要你的快樂","red","collected","clear","0.95","red","source_images/03_promo_overview.jpg","苦難或不幸的人生無法幫助這個世界。
你被剝奪最想要的東西，
這樣的生活也無助於這個世界。
但你的快樂、你的豐盛和你充實的人生，
可以讓整個世界都振奮起來。",""
"SMC-003","今天來創造你的明天","green","collected","clear","0.94","green","source_images/03_promo_overview.jpg; source_images/08_table_green.webp","這是在床上就能進行的強效儀式：
每晚，回顧當天的美好時刻，
衷心地表示感謝。
想想隔天，並計劃把隔天活成
人生中最精采的一天。
當你醒來時，在你起床之前，
再次宣告你的今日計畫，
並將今天當做已經過得很精采般
來表達你的謝意。",""
"SMC-004","我有覺察嗎？","pink","collected","clear","0.98","pink","source_images/03_promo_overview.jpg; source_images/11_table_pink_white.webp","要加強覺知，就停下來問自己：
「我現在在想什麼？我現在有什麼感覺？」
或者，你也可以問自己：「我有覺察嗎？」
一旦你這麼問，你就開始覺察了，
因為你把你的意念帶回了當下。",""
"SMC-005","改變意念，改變未來","blue_green","collected","clear","0.98","blue_green","source_images/03_promo_overview.jpg; source_images/05_table_blue_green.webp","每天入睡前，回顧這一天的經歷。
如果有不如意的事件，就在腦中用你想要的方式重新演繹一遍。
現在，你已經徹底改變了你的未來。",""
"SMC-006","感恩具有強大的實現力","burgundy","collected","clear","0.86","burgundy","source_images/04_table_burgundy.webp","請記住：想倍增力大或小，是你決定的。不斷感恩引來更多天地，不斷帶可引來更多美好。","細字有少量不確定，建議日後用更清晰單卡照校對。"
"SMC-007","意念會化為現實","burgundy","collected","partial","0.9","burgundy","source_images/04_table_burgundy.webp","",""
"SMC-008","免於焦慮","burgundy","collected","clear","0.82","burgundy","source_images/04_table_burgundy.webp","一切都聽從吸引力法則向你展現有意義的一切。如果你要焦慮和憂慮，你想要的事物會來嗎？那就做出這個選擇：「我總是無阻的。」",""
"SMC-009","你的職責在於自己","burgundy","collected","clear","0.95","burgundy","source_images/04_table_burgundy.webp","你無法替他人創造人生。
你不能幫別人思考，
如果你強加自己的意見在別人身上，
你就會吸引同樣的遭遇發生在自己身上。
所以讓別人去開創他們想要的生活吧，
把你無窮無盡的力量集中用來
創造你自己最精采的人生。",""
"SMC-010","你生來就是創作者","blue","collected","clear","0.95","blue","source_images/04_table_burgundy.webp","你在這顆輝煌燦爛的行星上，
擁有開創人生的奇妙力量。
你自己創造的體驗沒有極限，
你的心念是不受限制的。",""
"SMC-011","沒有限制、沒有欠缺","blue","collected","clear","0.92","blue","source_images/04_table_burgundy.webp","不要誤以為一切都來自外在世界。
如果你有這種誤會，
很可能會在人生中體驗到限制和匱乏。
你的心思是一切背後的創造力，
怎麼還會有任何缺乏呢？不可能的！
你有無限的念力，
所以能化無限的意念為現實。",""
"SMC-012","專注於解決問題","blue","collected","clear","0.94","blue","source_images/04_table_burgundy.webp","當你抗拒目前的處境，
你就賦予這個處境更多能量和力量。
這個事件或狀況只會愈來愈大，
因為這是宇宙法則。
要讓這個你不想要的情況變小，
就把你的能量和力量集中在
你想要的境遇上。",""
"SMC-013","改變心念，改變人生","blue","collected","clear","0.9","blue","source_images/05_table_blue_green.webp","不管你曾經實現了什麼，你都可以改變它
——只需要一個微小的正面心念，
然後再想下一個。",""
"SMC-014","只要專注於豐盛","blue","collected","clear","0.9","blue","source_images/05_table_blue_green.webp","宇宙為你備好了豐盛，你的工作並不是搞清楚金錢要「怎麼」來到你的生命中。
你的工作是提出要求，相信你已經收到了，並且現在就感覺快樂。至於怎麼把豐盛帶到你生命中，這些細節就交給宇宙。",""
